"An error occurs during payment transaction.","An error occurs during payment transaction."
"Debug Mode","Debug Mode"
"In ""Debug Mode"" some debug Messages are displayed in frontend.",""In ""Debug Mode"" some debug Messages are displayed in frontend."
"Invalid Order Status","Invalid Order Status"
"Invalid Payment Method","Invalid Payment Method"
"Invalid Request","Invalid Request"
"NPS - BCC (Banks and Credit Cards)","NPS - BCC (Banks and Credit Cards)"
"Order was canceled.","Order was canceled."
"Payment transaction canceled by customer.","Payment transaction canceled by customer."
"Please Select","Please Select"
"Production","Production",
"SOAP . Merchant ID","SOAP . Merchant ID"
"SOAP . Secret Key","SOAP . Secret Key"
"SOAP Web Service","SOAP Web Service"
"SOAP WSDL Url","SOAP WSDL Url"
"Testing","Testing",
"Unable to cancel, un-place order.","Unable to cancel, un-place order."
"Unable to connect with Payment Service.","Unable to connect with Payment Service."
"Unable to get redirect form data.","Unable to get redirect form data."
"Unable to get transaction data.","Unable to get transaction data."
"Undefined Payment Method","Undefined Payment Method"
"Unable to connect with NPS.","Unable to connect with NPS."
"NPS Conecction Error: No data received.","NPS Conecction Error: No data received."
"Use %s Url","Use %s Url",
"NPS Pending Payment","NPS Pending Payment"
"NPS Payment Canceled","NPS Payment Canceled"
"NPS Payment Review","NPS Payment Review"
"NPS Payment Review - Undefined Status","NPS Payment Review - Undefined Status"
"NPS Payment Processed","NPS Payment Processed"