"Labels","Метки"
"Labels general settings","Общие настройки меток"
"Labels location","Расположение меток"
"Top-left","Сверху слева"
"Top-right","Сверху справа"
"Bottom-left","Снизу слева"
"Bottom-right","Снизу справа"
"New Label","Новинка"
"Sale Label","Скидка"
"Show percentage","Показывать процент скидки"
"Show the percentage discount instead of label text","Показывать скидку в процентах вместо текста метки"
"Percent limit","Ограничение процента"
"Limit discounts from which percentage must be shown. 0 is for any percentage.","Для скидки больше указанной будет отображаться скидка в процентах вместо текста метки"
"Percent format","Формат скидки в процентах"
"Label text format. Use %d for percent value and %% for percent symbol, for example (-%d%% sale) for (-15% sale).","Используйте %d для величины скидки и %% для символа процента, например (скидка -%d%%) преобразуется в (скидка -15%) "
"Featured Label","Рекомендуемое"
"Text that will be on the label","Текст метки"
"Label background color","Цвет фона"
"Label text color","Цвет текста"